id,Client,Title,Body,Capstone Program,Faculty,Team,Capstone Course,Course Subject,Course Number,Focus Areas
2030,CHILDREN'S INSTITUTE,STRATEGIES FOR DEVELOPING A SUSTAINABLE REVENUE MODEL,"Children's Institute is a policy, advocacy, and research organization
committed to strengthening early childhood education systems
and improving outcomes for children in Oregon. In 2022, the
organization launched a three-year strategic plan that included five
imperatives grounded in its core values of honor, equity, learning,
innovation, and connectedness. Children's Institute contracted
a Capstone team to build out the fifth imperative: to establish
a sustainable revenue model, inclusive of entrepreneurship
opportunities, that advances the organization’s mission. The team
prepared a literature review on social enterprise frameworks and
a landscape analysis of early childhood education organizations
that have incorporated a fee-for-service model. The team developed
a comprehensive roadmap that integrates global insights from
educational social enterprises, assesses organizational readiness, and
identifies potential earned revenue models. The roadmap is intended
to shape the organization’s revenue-generating model and guide its
impact to ensure a sustainable and equitable future for the children
and families whom it serves.",SI3,Mo Coffey,"Zane Li
Emely Paulino
Autumn Qiu
Bonnie Tang
Kazybek Zhuman","Social Impact, Innovation, and Investment ",CAP-GP,3302,"Education, Social Justice and Democracy, Philanthropy and Fundraising"
2031,FJC,"EVALUATING THE AGENCY LOAN FUND TO INCREASE UTILIZATION AND
IMPACT","FJC is a foundation of donor-advised funds for philanthropists
operating an innovative nonprofit called the Agency Loan Fund
(ALF). The ALF allows donor-advised funds to maximize their
charitable capital by investing their accounts in loans to nonprofits.
Interest payments grow the ALF pool and donor accounts, recycling
the funds for further impact. However, given a recent trend of lower
utilization—which creates a lessened impact on nonprofits—FJC
engaged the Capstone team to analyze how the loan program
could increase its utilization and impact. After conducting desktop
research, a stakeholder analysis, and data analysis, the team found
that the ALF’s low utilization rate is primarily due to high interest
rates to nonprofit borrowers, both in relation to the ALF’s ten-
year historical rates and to those of alternative lenders. The team
recommended FJC restructure its lending rate, untethering it from
the inflation-sensitive Prime index. The team developed a scenario
modeling tool to help FJC make strategic decisions supported by the
ALF’s historical loan data.",SI3,Becky Duane,"Kendra Gibbs
Nicole Jagernauth
Nirav Shah
Devashish Taknet
Brian Ward","Social Impact, Innovation, and Investment ",CAP-GP,3302,Philanthropy and Fundraising
2032,LIBRARIES WITHOUT BORDERS,"A DATA-DRIVEN APPROACH TO EXPANDING COMMUNITY
OUTREACH AND IMPACT","Libraries Without Borders (LWB) is an organization that brings
knowledge and information to people in under-resourced
communities by providing them with access to books and digital
materials, expanding the reach of libraries, training facilitators
in post-emergency situations, and addressing the needs of those
communities. LWB is currently building partnerships with public
library systems around the country in order to identify—and
ultimately remove—barriers to access, by building and implementing
sustainable outreach strategies. LWB engaged a Capstone team
to produce a database of innovative and effective library outreach
strategies. This database will grow LWB’s toolkit of best practices,
allowing the organization to scale a model of community partnership
across the ecosystem of public libraries in the United States.",SI3,Becky Duane,"Lee-Anne Andanje
Randi Gu
Shiyao Li
Danlei Shu
Liya Wang","Social Impact, Innovation, and Investment ",CAP-GP,3302,"Nonprofits and Government, Education, International Development"
2033,OLIVIA TECHNOLOGIES,EXPLORING THE DIGITAL CONNECTIVITY OF K-12 SCHOOLS,"Olivia Technologies is an ed-tech company working to eliminate
the need for internet connectivity and ensure that no child bears
the burden of lacking internet access for their learning. The
client engaged a Capstone team to understand the landscape
of digital connectivity in K-12 schools across various states and
provide strategic recommendations for product expansion and
client engagement. The team conducted a landscape analysis and
performed a weighted analysis that factored broadband connectivity
and device accessibility, inclusion of quality content and e-learning
platforms, and federal and state grants and investments to determine
the top five states for Olivia Technologies' product expansion:
North Carolina, Georgia, Illinois, Minnesota, and Ohio. The team
conducted interviews with individuals across the five states, ranging
from stakeholders in their respective Departments of Education to
those impacted at the school district level such as superintendents
and teachers. The team used their findings to develop a set of
recommendations for curated client engagement in the identified
jurisdictions.",SI3,Carolyn Hou,"JD Mazuera Arias
Cataydra Brown
Kadeem Robinson
Haoyu Wu","Social Impact, Innovation, and Investment ",CAP-GP,3302,"Nonprofits and Government, Social Justice and Democracy, Education"
2034,SURDNA FOUNDATION,ENHANCING THE IMPACT MANAGEMENT PROCESS,"The Surdna Foundation is a 100 year-old charitable organization
with an endowment of over $1 billion, roughly $170 million of which
is allocated to impact investing in racial equity, climate justice, and
narrative change. In order to measure the particular outcomes and
social benefits that result from investments in its impact portfolio
and align them more closely to its goals, Surdna’s impact investing
team engaged a Capstone team to conduct broad field research to
understand the capabilities of fund managers and shared challenges
within the industry. The team focused on developing tools to help
Surdna become more strategic in selecting new investments and
understanding how those investments can create social change.
The team provided Surdna with two reports: the first details best
practices from the industry and looks critically at solutions for
organizational stumbling blocks, and the second provides targeted
recommendations on communication and implementation.",SI3,Becky Duane,"Elena Gan
Jordana Grunfeld
Ugochi Obidiegwu
Will Rothschild
Jiangfan Shi","Social Impact, Innovation, and Investment ",CAP-GP,3302,"Nonprofits and Government, Program Evaluation, Philanthropy and Fundraising"
2035,SOCIAL VENTURE PARTNERS TUCSON,"FOSTERING SUSTAINABLE SOCIAL CHANGE THROUGH CORPORATE
PARTNERSHIP ENHANCEMENTS","Social Venture Partners (SVP) Tucson is a nonprofit fostering
community well-being since 2006. SVP Tucson engaged the
Capstone team to evaluate and enhance its corporate partnership
model, uncovering its value proposition and impact on social
responsibility. Leveraging a multi-faceted methodology, the team
conducted background research, internal and external interviews,
and a SWOT analysis. Key findings spotlighted SVP Tucson's
strengths in network facilitation and mission alignment with
corporate partners, and revealed challenges in referral and brand
awareness. Based on its findings, the team identified opportunities
to strengthen communication and leverage partners as advocates.
The team’s strategic recommendations emphasize refining
communications, updating promotional materials, increasing event
exposure, and focusing on mentorship programs, all of which aim to
amplify corporate partnerships, promote social responsibility, and
align with SVP Tucson's mission and vision.",SI3,Carolyn Hou,"Sophie Dornevil
Shiyuan Liu
Jintong Que
Qianqian Zheng","Social Impact, Innovation, and Investment ",CAP-GP,3302,"Health, Nonprofits and Government, Cities"
2036,TRANSFORM FINANCE,"DEMYSTIFYING FUND STRUCTURES FOR ALTERNATIVE OWNERSHIP
ENTERPRISES","Transform Finance (TF) is a research, education, and
implementation partner that supports its stakeholders to challenge
legacy investment approaches, seed transformative investment
models, and build movement power. Traditional business operations
enrich investors to the detriment of asset-building opportunities
for workers and underserved communities, contributing to the
wealth gap, particularly along racial lines. TF enlisted the Capstone
team to study and catalog Alternative Ownership Enterprises
(AOEs) to understand these alternative models and undergird TF's
investor-facing effort. The Capstone team compiled, researched,
and confirmed a database of known AOE funds, which the client
published both on ImpactAlpha and the TF website. The team
created investor-specific materials on the financing needs of these
AOEs, related to employee stock ownership plans, employee
ownership trusts, and worker cooperatives (both conversion and
startup). Building on the database of known AOE funds, the team
developed four in-depth guides aimed at demystifying the funding
structures of the identified AOEs.",SI3,Carolyn Hou,"Ruoyu Cai
Rachel Fleischer
Joe Liberatore
Yiming Shan","Social Impact, Innovation, and Investment ",CAP-GP,3302,"Cities, Health, Nonprofits and Government"
2037,INCLUSIVE+,PROGRAM EVALUATION STRATEGY FOR HEALTH STAKEHOLDERS,"Inclusive+ aims to improve health equity outcomes for LGBTQIA+
patients through clinical and cultural competency physician
education and comprehensive provider directories. Lacking
evidence to demonstrate that there is an opportunity to improve
patient care and health care outcomes and to achieve cost savings
for LGBTQIA+ patients through physician education, the client
engaged the Capstone team to create a program evaluation strategy
to prove program efficacy and frame its value proposition. The team
produced a literature review and a competitor landscape scan to help
inclusive+ define and position its value proposition. The team further
generated two distinct pilot study designs for the client to run, based
on existing client partnerships with large health systems and smaller
community clinics. Finally, the team developed a logic model for
inclusive+ to showcase their findings and demonstrate causality
between provider education and improved patient outcomes, thereby
lowering the cost of care while improving care quality",HPM,Sophie Pauze,"Gabrielle Battino
Will Harris
Muriel Lavallee
Honey Patel
Norkila Sherpa",Health Policy and Management,CAP-GP,3302,"Education, Health, Social Justice and Democracy, Nonprofits and Government, Inequality, Race, and Poverty"
2038,INSTITUT PASTEUR,THE APPLICATION OF ARTIFICIAL INTELLIGENCE TO INFECTIOUS DISEASE,"Institut Pasteur is a nonprofit foundation and international leader
in biomedical research, focusing on the research advancement
of human health and medical progress. Institut Pasteur has an
existing network of 33 centers across the globe and is opening its
first location in the United States at the University of California
San Francisco (UCSF). The Institut Pasteur-UCSF QBI Center
of Excellence in Emerging Infectious Diseases will use artificial
intelligence (AI) to track and identify emerging or reemerging
infectious diseases. The client engaged the Capstone team to
research the relevant use of AI across the United States, from current
projects tackling infectious diseases to broader applications for
revolutionizing medicine. The team’s final report includes a research
review and landscape analysis, along with recommendations to
inform the strategy of the forthcoming Institut Pasteur-UCSF QBI
Center of Excellence in Emerging Infectious Diseases and ensure
that the foundation remains competitive in the field.",HPM,Rain Henderson,"Steven Lucero
Amanda Maurer
Brian Phan",Health Policy and Management,CAP-GP,3801,"Data Science and Data Management, Social Justice and Democracy, Nonprofits and Government, Health"
2039,NATIONAL BLEEDING DISORDERS FOUNDATION,"ASSESSING PATIENT ADVOCACY WITHIN THE BLOOD AND BLEEDING
DISORDER COMMUNITY","The National Bleeding Disorders Foundation (NBDF) is an advocacy
group supporting individuals with hereditary blood and bleeding
disorders. NBDF has worked on a rebranding initiative to extend
its reach within the blood and bleeding disorder community. The
client enlisted the Capstone team to identify gaps in patient support,
provider education, policy, and advocacy across 31 blood and
bleeding disorders in order to identify areas of potential expansion
for NBDF. The team conducted a landscape analysis to find existing
services and organizations representing these disorders. The team
also distributed a survey during NBDF’s Washington Days and on
social media to gather qualitative data identifying critical service
needs. The team’s findings show significant service gaps in advocacy,
patient education, and medical education across several rare
disorders. The team’s report includes recommendations to broaden
and diversify NBDF’s reach and offerings. Supplementary tools in
the report include a list of potential grant funding opportunities to
help facilitate this expansion.",HPM,Sophie Pauze,"Ryan Carney
Katherine Halicki
Zongpu Li
Charlotte Liang
Martina Nadeau",Health Policy and Management,CAP-GP,3801,"Health, Data Science and Data Management, Nonprofits and Government, Education"
2040,"NYU LANGONE DEPARTMENT OF EMERGENCY
MEDICINE","IMPLEMENTATION OF ""STOP THE BLEED"" TRAINING IN NYC SCHOOLS","NYU Langone’s Ronald O. Perelman Department of Emergency
Medicine has operated as an independent academic department at
NYU for over 30 years, treating over 500,000 patients annually. The
Department’s Prevention Education Partnership (PEP) is a program
that has taught thousands of students and teachers in schools over
the past seven years on a variety of health related topics, including
drug abuse. In partnership with PEP, the Department of Emergency
Medicine enlisted the Capstone team to research, develop, and
implement a curriculum for best practices to address school-based
violence, including Stop the Bleed training. The Capstone team
coordinated the introduction of Stop the Bleed training for teachers
in several New York City schools and school-based health centers",HPM,Rain Henderson,"Kelly Dougherty
Stefanie Gopaul
Nerissa Santa Cruz
Jessica Unterlack",Health Policy and Management,CAP-GP,3801,"Education, Data Science and Data Management, Health, Nonprofits and Government"
2041,NYU LANGONE ORTHOPEDIC HOSPITAL,"ANALYZING THE FINANCIAL AND OPERATIONAL SHIFT TO OUTPATIENT
SURGERY CENTERS","NYU Langone's Department of Orthopedic Surgery has three
hospital sites: NYU Langone Orthopedic Hospital, NYU Brooklyn,
and NYU Long Island. The Department seeks to maximize operating
room utilization for total joint and spine cases as more procedures
are moved to the outpatient arena. The Capstone team completed
a literature review to understand national trends across the US and
build a foundation of knowledge on the subject, and conducted an
operational analysis of procedure utilization at each of the three
sites to determine each site’s volume and capacity, and which
surgical procedures can be done within a 24-hour stay. The team
also conducted a financial analysis to determine the potential
financial impact of moving procedures to an outpatient arena
while ensuring quality patient outcomes. The team’s final report
incorporates its operational and financial analysis findings along
with recommendations made to the steering committee.",HPM,Rain Henderson,"Ezra Affoumado
Ashna Gupta
Jeremy Hoaxing Zhu",Health Policy and Management,CAP-GP,3801,"Nonprofits and Government, Data Science and Data Management, Health"
2042,MEDICARE ADVANTAGE AND HOSPITALS,"NAVIGATING NEW NORMS: HOSPITAL RESPONSES TO THE RISE OF
MEDICARE ADVANTAGE","The Capstone team investigated how non-federal American
hospitals have adapted to the increasing prevalence of Medicare
Advantage (MA) in healthcare delivery. The team also reviewed the
distinct responses to MA from community and tertiary hospitals and
larger health systems across urban and rural settings. The team’s
literature review focused on strategic shifts that hospitals have
implemented in response to MA's evolving landscape, emphasizing
the operational and financial impacts. It also examined the broader
implications for patients, particularly their ability to access
timely and quality care. The ultimate aim of the final report is to
inform future healthcare administrators about the challenges and
opportunities presented by MA, highlighting the need for adaptive
strategies in hospital management and patient care services in a
landscape increasingly dominated by privatized insurance models
under MA.","HPM, FIN",Carla Sampson,"Elizabeth Doyle
Joseph Mikhaeil
Matthew Moore
Sean Pomory
Kim Stagg","SIMULATION IN HEALTHCARE
MANAGEMENT AND FINANCE",CAP-GP,3803,"Nonprofits and Government, Data Science and Data Management, Health, Social Justice and Democracy"
2043,BUFFALO OLMSTED PARKS CONSERVANCY,EVALUATING USERSHIP IN BUFFALO'S OLMSTED PARK,"The Buffalo Olmsted Parks Conservancy (BOPC) engaged the
Capstone team to create a methodology to collect, analyze, and
present data on park usership to better understand how many people
are using its parks. The team reviewed case studies and literature
on park usership to determine best practices for data collection.
In partnership with BOPC staff, the team used these guidelines to
test methods in Olmsted parks in NYC and Buffalo. Based on its
findings, the team created a toolkit that employs recommended data
collection methods for each of BOPC’s park assets. The methods
involve conducting entry counts and activity scans at multiple times,
on different days, across seasons, to create a representative sample
of park users that can be used for yearly population estimates.
BOPC will use the team’s report and toolkit to make data-informed
decisions in its 5-Year Plan, which drives strategy in the short term,
and future efforts in investment, maintenance, and planning.",MUP,"Meredith Phillips
Almeida","Jake Mericle
Jessica Saab
Emily Speelman
Stephen Zubrycky",Urban Planning,CAP-GP,3602,"Health, Cities, Environment, Climate Change, and Sustainability, Program Evaluation, Nonprofits and Government, Data Science and Data Management"
2044,"CITY OF MISSOULA, MONTANA",ADDRESSING CAPACITY CONSTRAINTS FOR HOUSELESS SERVICES,"The COVID-19 pandemic highlighted and exacerbated needs
related to housing supply and demand. This has resulted in greater
service needs and an opportunity to reassess current approaches
to addressing precarious housing situations and the experience of
being unhoused. As the City of Missoula, Montana grows, City and
community leadership have identified a need to expand services
offered to people with housing needs. Given the importance of
cultivating relationships with service providers in the effort to recruit
them to Missoula, the City tasked the Capstone team with procuring
a list of potential partnership organizations. Based on its findings
from the survey and case studies, the team presented the client a
series of recommendations across three main categories: network
infrastructure, cultivating relationships, and strategic initiatives.",MUP,"Meredith Phillips
Almeida","Sarah Ahmad
Rebecca Julie
Ceinna Little
Dori McAuliffe
Lorelei Meidenbauer",Urban Planning,CAP-GP,3602,"Data Science and Data Management, Program Evaluation, Health, Environment, Climate Change, and Sustainability, Cities, Nonprofits and Government"
2045,INSTITUTE OF SUSTAINABLE COMMUNITIES,ADVANCING EQUITABLE BUILDING DECARBONIZATION,"The Institute of Sustainable Communities (ISC) has collaborated with
organizations nationwide to implement sustainable decarbonization
pilots in Oakland, Philadelphia, and St. Louis, in order to address the
exclusion of low-income communities of color from climate change
mitigation initiatives. The Capstone team produced a case study with
St. Louis’ Tower Grove Community Development Corporation to
examine its energy-saving interventions and share its best practices
with ISC-affiliated organizations. The team identified factors
influencing Tower Grove's green building initiatives, notably 1) the
significant hurdle of access to capital, limiting the scope of its efforts
due to upfront retrofit costs and 2) tenant behavior, revealed through
the analysis of energy usage in decarbonized buildings. In response,
the team proposed establishing a database outlining public and private
funding and grant opportunities to facilitate capital acquisition for ISC
partners, as well as community education initiatives to promote energy-
saving practices among tenants. The team’s case study highlights the
necessity for green legislation to address the split-incentives problem
between capital investment and tenant savings.",MUP,Sarah Kaufman,"Kyle Beyer
Benjamin Listman
Gav Mazurek
Dominic Sonkowsky
Jesika Tixi",Urban Planning,CAP-GP,3602,"Nonprofits and Government, Philanthropy and Fundraising, Environment, Climate Change, and Sustainability, Cities"
2046,NEW YORK CITY DEPARTMENT OF TRANSPORTATION,SMART CURBS INITIATIVE,"In 2023, the New York City Department of Transportation (NYC DOT)
launched a Curb Management Action Plan in an effort to reimagine the
city’s curb space. The goal of the “Smart Curbs” pilot is to address the
evolving urban transportation landscape marked by the e-commerce
boom and increasing demands for mobility and safety by reallocating
curb space for improved accessibility, streamlined e-commerce
deliveries, and sustainable transport options. As part of its pilot effort,
NYC DOT engaged the Capstone team to develop recommendations
to reimagine curb management on the Upper West Side of Manhattan.
Utilizing surveys, field observations, and spatial analysis, the team
researched the study area's unique needs, identified current challenges,
and proposed innovative curb configurations. The team’s final report
entails comprehensive recommendations that outline strategies for
optimizing curb space while prioritizing community needs, improved
traffic flow, and the promotion of low-emission mobility solutions,
setting a new standard for curb management in NYC.",MUP,Sarah Kaufman,"Andrés Franco
Anastasia Hediger
Judy Huynh
Cary Tipton
Calley Wang",Urban Planning,CAP-GP,3602,"Nonprofits and Government, Cities, Transportation, Data Science and Data Management"
2047,PORT AUTHORITY OF NEW YORK AND NEW JERSEY,"EVALUATING BUS TERMINALS AND REROUTES FOR THE MIDTOWN BUS
TERMINAL RECONSTRUCTION","The Port Authority of New York and New Jersey (PANYNJ) is a
bi-state agency that operates and maintains tunnels, bridges, and
bus terminals, among other transportation facilities. PANYNJ is
planning the reconstruction of its Midtown Bus Terminal on its
existing location, which will require the use of a temporary bus
terminal for a multi-year period. Given the capacity constraints of
the planned temporary terminal, PANYNJ tasked the Capstone
team with identifying and evaluating sites to be used as additional
temporary terminals, as well as suitable bus routes to be rerouted
to those sites. After examining existing conditions, conducting an
extensive literature review, and learning from case studies of similar
rerouting projects, the team proposed a longlist of potential sites.
The team then developed a set of fatal flaws and scoring metrics
to select a shortlist of the most feasible sites, and recommended
bus reroutes to each site, along with associated strengths and
weaknesses of each option.",MUP,Sarah Kaufman,"Willis Alala
Edwin Jeng
Henry Kanengiser
Julia Raab
Samantha Sánchez
Jeffrey Yang",Urban Planning,CAP-GP,3602,"Transportation, Data Science and Data Management, Nonprofits and Government, Cities"
2048,TOWN+GOWN: NYC,BUILDING CIRCULAR ECONOMIES IN NYC'S INDUSTRIAL BUSINESS ZONES,"Under the direction of the NYC Department of Design and
Construction (DDC), Town+Gown: NYC is a city-wide partnership
program that provides resources to support research on infrastructure
and the built environment. In order to advance NYC's sustainability
and climate goals, major city agencies have been directed to reduce
their carbon emissions. While the construction sector is a significant
driver of emissions in NYC, heavy industry remains a vital component
of the city's economy. Town+Gown engaged the Capstone team to
explore challenges and opportunities associated with creating a
circular economy for construction and demolition waste (CDW) sited
in industrial business zones (IBZs). The team identified five IBZs to
serve as case studies for its research: North Brooklyn; Long Island
City and Maspeth, Queens; Port Morris, Bronx; and West Shore, Staten
Island. The team conducted site visits, completed an analysis of
existing conditions, and undertook extensive stakeholder engagement,
both through qualitative interviews and a quantitative survey. Based
on this research and stakeholder feedback, the team produced a final
report highlighting major findings and providing recommendations
for strategies to advance circular CDW economies in the IBZs",MUP,Michael Keane,"Manal Bawazir
Alex Bernabe
Eliza Ezrapour
Marta Krawczynski
Marcos Rodriguez
Anderson
Noah Williams",Urban Planning,CAP-GP,3602,"Transportation, Nonprofits and Government, Data Science and Data Management, Cities"
2049,TRANSPORTATION ALTERNATIVES,"PEDESTRIANIZATION AND SAFETY TOOLKIT & WASHINGTON SQUARE
PARK CASE STUDY","Transportation Alternatives (TA) is an advocacy organization whose
mission is to reclaim New York City from cars by transforming
its streets into safe, sustainable, and equitable places to walk,
bike, take transit, gather, and thrive. TA’s “NYC 25x25” campaign
challenges City leaders to repurpose 25 percent of NYC street space
for alternative public uses by 2025, using the greater Washington
Square Park area as a case study for these initiatives. The Capstone
team developed a pedestrianization and safety augmentation toolkit
for TA that can assist in identifying pedestrianization opportunities
and improvements to non-vehicular safety across the City. The
team also developed a case study that applies this toolkit to the area
around Washington Square Park. Together, these deliverables will
advance TA’s NYC 25x25 campaign by equipping the organization
with new tools and methods to advocate effectively for street
reclamation initiatives in the Washington Square Park area and
across the city.",MUP,Michael Keane,"Andrew DeFrank
Oliver Dillon
Alana Barrington Dye
Mary-Claire Graham
Charlotte Moore",Urban Planning,CAP-GP,3602,"Transportation, Cities, Nonprofits and Government, Program Evaluation"
2050,UNION SQUARE PARTNERSHIP,PUBLIC LIFE STUDY TOOLKIT DESIGN,"Union Square Partnership (USP) is a Business Improvement District
(BID) that helps manage and promote the economic development
of the greater Union Square Park and 14th Street corridor area in
Manhattan. USP’s responsibilities include maintenance, sanitation,
security, space activation through activities and events, and serving as
a conduit between businesses and City government. USP tasked the
Capstone team with designing a toolkit for surveying its public spaces
to inform future public realm improvements. The team performed a
literature review to understand the most important qualities of good
public space and find ways to innovate USP’s data collection process
using technology. The team developed and field-tested survey formats
found through case studies from other cities’ best practices. The team
produced a toolkit based on these efforts consisting of a methodology, a
set of survey templates, and technology recommendations that USP can
apply to survey its district at scale.",MUP,"Meredith Phillips
Almeida","Luke Buttenwieser
Michael Frajman
Charlotte King
Griffin Mills
Yihan Shi",Urban Planning,CAP-GP,3602,"Program Evaluation, Cities, Nonprofits and Government"
2051,"ABRAHAMIC FAMILY HOUSE: MOSES BEN MAIMON
SYNAGOGUE",COMMUNICATIONS STRATEGY AND COMMUNITY SYSTEMS,"The Moses Ben Maimon Synagogue (MBMS), the first synagogue
built in the Arab world in over a century, is part of Abu Dhabi’s
Abrahamic Family House, a multi-faith complex committed to
interfaith understanding, with a mosque, synagogue, and church.
Since its founding in February 2023 by the local government, MBMS
is currently the only legal place of worship for Abu Dhabi’s Jewish
community. The Synagogue’s leadership must balance competing
priorities as both a public institution and the theoretical center
of Jewish life. This balance introduces multiple challenges for
MBMS as it communicates with its network’s diverse stakeholders.
MBMS engaged the Capstone team to gain a clear conceptual
understanding of its stakeholders and provide a report on the
contextual factors influencing stakeholder expectations, engagement
opportunities, and limitations. The team outlined key takeaways
from its analysis, synthesized recommendations, and developed a
suite of tools that will position MBMS’ leadership to communicate
effectively with various stakeholders.","ITL, MGT",Anna Levy,"Emily Einhorn
Arielle Kaye
Liana Rothman",International Development,CAP-GP,3227,"Program Evaluation, Cities, Inequality, Race, and Poverty, Nonprofits and Government"
2052,CARE,"BUILDING ADVOCACY AND FUNDRAISING CAPACITY FOR WOMEN-LED
ORGANIZATIONS IN COLOMBIA","CARE is an international humanitarian organization dedicated to
ending global poverty. In 2022, CARE launched an innovative pilot
that focused on capacity-sharing, learning, and grant-making for
women-led organizations (WLOs) in four conflict-affected settings,
including 15 WLOs in Colombia’s Nariño region. The pilot aimed to
increase the representation of women and girls’ priorities and needs
in humanitarian settings through direct funding to WLOs. CARE
enlisted the Capstone team to understand how to strengthen and
scale up WLO capacity to serve women and girls more effectively.
During its fieldwork in Bogota and Pasto, Colombia, the team led
interviews with key institutional stakeholders, conducted in-person
visits to WLOs, and held a participatory workshop for WLO leaders.
Guided by its fieldwork, the team created an easy-to-use, interactive
toolkit in Spanish for partner WLOs to use in expanding their global
networks and advocating for funding.","ITL, MGT",Anna Levy,"
Antonia Nichols
Roxeanne Oyesile
Laura Maria Rojas
Morales
Erin Worden",International Development,CAP-GP,3227,"Nonprofits and Government, Inequality, Race, and Poverty, International Development, Education"
2053,EK KADAM AUR,ASSESSING THE IMPACTS OF THE ARUNODAYA PROGRAM,"Ek Kadam Aur (EKA) is a nonprofit organization transforming the
lives of underprivileged children with visual impairments through
inclusive education and digital technology. EKA’s Arunodaya
(“Sunshine for the Blind”) program equips blind children in
rural India with basic literacy skills through one-on-one tutoring.
EKA enlisted the Capstone team to determine the impact of the
program, identify challenges and growth opportunities, and
recommend improvement and expansion strategies. EKA invited
the team to undertake a five-day field assessment of the program
in Auraiya, Uttar Pradesh, India. The team’s post-field assessment,
which integrated statistical analysis of educational outcomes and
stakeholder interviews, found that the program generally has a
positive impact on academic performance, with early elementary
school interventions fostering notably accelerated comprehension
when compared to late, post-elementary intervention. The team’s
recommendations emphasize the importance of early intervention
and the need to explore alternative educational pathways for
older children. The team’s report provides recommendations for
strengthening and scaling the program in villages across India.","ITL, MGT",Anna Levy,"Faisal Alhedaib
Yue Feng
Yeji Lee
Rishi Soneja",International Development,CAP-GP,3227,"International Development, Nonprofits and Government, Education"
2054,INTER-AMERICAN DEVELOPMENT BANK,"DECODING GOVERNANCE SCHEMES FOR HISTORIC CENTERS: AN
EVALUATION OF PAST STRATEGIES AND CREATION OF FUTURE
PATHWAYS","The Inter-American Development Bank (IDB) is an international financial
institution serving as the largest source of development financing for
Latin America and the Caribbean. The Dominican Republic government
approached the IDB to explore improvement strategies targeting Santo
Domingo’s government schemes that directly impact urban renewal and
historic preservation projects. The Capstone team collaborated with IDB
on developing a comprehensive approach to analyzing, evaluating, and
monitoring project management and collaboration between government
agencies. Through a case study methodology, the team conducted an
extensive literature review of historic city centers globally, emphasizing
policy structures and financial management systems in successful and
unsuccessful project implementations. The team's final deliverable
encompasses a presentation that showcases a qualitative synthesis of Santo
Domingo’s past-to-present state of urban development and preservation
initiatives. It closes with curated short- to long-term recommended tools
and mechanisms addressing inter-institutional coordination, financial
management, and cross-governmental collaboration.","ITL, MGT",Paul Smoke,"Selenne Hernandez
Noelle Lezcel",International Development,CAP-GP,3227,"Education, Philanthropy and Fundraising, Nonprofits and Government, International Development"
2055,UGANDA VILLAGE PROJECT,"ENHANCING OBSTETRIC FISTULA CARE IN UGANDA: BEST PRACTICES AND
PREVENTATIVE MEASURES","The Uganda Village Project (UVP) is an organization dedicated
to improving public health by implementing fistula repair, sexual
reproductive health education, and water sanitation programs. UVP
engaged a Capstone team to optimize its obstetric fistula repair
efforts by identifying, compiling, and evaluating best practices
and preventative strategies. Utilizing a mixed-methods approach,
the team conducted in-depth interviews with key obstetric fistula
stakeholders and reviewed relevant literature to uncover effective
strategies for fistula care. The team’s analysis concentrated on
strategies for overcoming barriers created by cultural norms and
resource limitations, enhancing community engagement around
prevention, and improving surgical techniques and post-operative
management. The team incorporated these findings into a strategic
framework for UVP to enhance its fistula care initiatives, establishing
a benchmark for similar projects in the region and beyond","ITL, MGT",Anna Levy,"Rashmi Aher
Bintou Cisse
Khairat Ishola
Maria Olifer",International Development,CAP-GP,3227,"International Development, Nonprofits and Government, Philanthropy and Fundraising"
2056,UNITED NATIONS CAPITAL DEVELOPMENT FUND,"ASSESSING THE STATE OF SUBNATIONAL GOVERNANCE INSTITUTIONS
IN INDONESIA","The United Nations Capital Development Fund (UNCDF), is a
UN agency that provides innovative financial approaches to the
world’s least developed nations. UNCDF leverages both public and
private funds to alleviate poverty and foster economic growth at
the local level. In line with the policy areas laid out in the Malaga
Global Coalition for Municipal Finance, the UNCDF engaged the
Capstone team to conduct a case study of South Tangerang Regency,
Indonesia, highlighting the accomplishments and obstacles
encountered by municipal administrations in funding sustainable
development initiatives. The team conducted background research
and a literature review, as well as on-site interviews with government
officials and other stakeholders in Jakarta and South Tangerang.
The team’s case study, which includes analysis and financing
recommendations for local governments, will appear in the second
edition of UNCDF’s “Local Government Finance is Development
Finance” report, along with a presentation for future UNCDF
meetings.","ITL, MGT",Paul Smoke,"Ritwick Dutta
Leon Wang",International Development,CAP-GP,3227,"Philanthropy and Fundraising, International Development, Nonprofits and Government"
